,id,link,gia_tien,RAM,ROM,CPU,Man_hinh,camera_sau,camera_truoc,kich_thuoc,radio,thoi_diem ra mat,rating,ghi_am
0,232364,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a12-6gb,4.490.000₫ ,6 GB,128 GB,MediaTek Helio G35 8 nhân,PLS TFT LCD,"Chính 48 MP & Phụ 5 MP, 2 MP, 2 MP",8 MP,Dài 164 mm - Ngang 75.8 mm - Dày 8.9 mm,Đang cập nhật,12/2020,2.6666666666666665,
1,220654,https://www.dienmayxanh.com/dien-thoai/oppo-a92,5.590.000₫,8 GB,128 GB,Snapdragon 665 8 nhân,TFT LCD,"Chính 48 MP & Phụ 8 MP, 2 MP, 2 MP",16 MP,Dài 162 mm - Ngang 75.5 mm - Dày 8.9 mm,Có,05/2020,3.4895833333333335,Có
2,213031,https://www.dienmayxanh.com/dien-thoai/iphone-12,19.290.000₫,4 GB,64 GB,Apple A14 Bionic 6 nhân,OLED,2 camera 12 MP,12 MP,Dài 146.7 mm - Ngang 71.5 mm - Dày 7.4 mm,,10/2020,5.0,Có (microphone chuyên dụng chống ồn)
3,217308,https://www.dienmayxanh.com/dien-thoai/xiaomi-redmi-9,3.590.000₫,4 GB,64 GB,MediaTek Helio G80 8 nhân,IPS LCD,"Chính 13 MP & Phụ 8 MP, 5 MP, 2 MP",8 MP,Dài 163.32 mm - Ngang 77.1 mm - Dày 9.1 mm,Có,06/2020,4.1466666666666665,Có (microphone chuyên dụng chống ồn)
4,225380,https://www.dienmayxanh.com/dien-thoai/iphone-12-mini,16.890.000₫,4 GB,64 GB,Apple A14 Bionic 6 nhân,OLED,2 camera 12 MP,12 MP,Dài 131.5 mm - Ngang 64.2 mm - Dày 7.4 mm,,10/2020,3.6666666666666665,Có (microphone chuyên dụng chống ồn)
5,230525,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-a02s,3.190.000₫,3 GB,32 GB,Snapdragon 450 8 nhân,PLS TFT LCD,"Chính 13 MP & Phụ 2 MP, 2 MP",5 MP,Dài 164.2 mm - Ngang 75.9 mm - Dày 9.1 mm,Đang cập nhật,12/2020,5.0,
6,227681,https://www.dienmayxanh.com/dien-thoai/realme-c17,4.760.000₫,6 GB,128 GB,Snapdragon 460 8 nhân,IPS LCD,"Chính 13 MP & Phụ 8 MP, 2 MP, 2 MP",8 MP,Dài 164.1 mm - Ngang 75.5 mm - Dày 8.9 mm,Có,11/2020,4.8076923076923075,Có
7,229947,https://www.dienmayxanh.com/dien-thoai/vivo-y12s,3.190.000₫,3 GB,32 GB,MediaTek Helio P35 8 nhân,IPS LCD,Chính 13 MP & Phụ 2 MP,8 MP,Dài 164.41 mm - Ngang 76.32 mm - Dày 8.41 mm,Có,10/2020,3.892857142857143,Có
8,232668,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-z-fold2-5g-dac-biet,,,,,,,,,,,0.0,
9,226099,https://www.dienmayxanh.com/dien-thoai/samsung-galaxy-z-fold-2,36.000.000₫ ,12 GB,256 GB,Snapdragon 865+ 8 nhân,"Chính: Dynamic AMOLED, Phụ: Super AMOLED",3 camera 12 MP,10 MP,Mở: Dài 159.2 mm - Ngang 128.2 mm - Dày 6.9 mm; Gập: Dài 159.2 mm - Ngang 68 mm - Dày 16.8 mm,,09/2020,4.928571428571429,
